ID,Company.Name,Subsidiary.Name,Search,Share,Company.Type,Source,Notes,Country.of.Headquarters,Rystad.Upstream.Industry.Segment,Type.of.Subsidiary,Hydrocarbons.Production.in.2022..Oil..Gas..Condensate..NGL.,Production.Countries,Fracking,Tar.Sands,Coalbed.Methane,Extra.Heavy.Oil,Ultra.Deepwater,Arctic,Unconventional.Production,Resources.under.Development.and.Field.Evaluation.as.of.September.2023,Expansion.Countries,Unconventional.Expansion,X1.5�.C.Expansion.Overshoot.based.on.IEA.NZE..2021.2022.,Exploration.CAPEX.3.year.average..2021.2023.,Exploration.Countries,Fossil.Fuel.Share.of.Revenue,Data.Description,Reporting.Year,Project.Names,Project.Risks,Project.Descriptions,Remarks,GOGEL.ID,Upstream.Row.ID,RIC
550,Oman Investment Authority,Muscat Electricity Distribution Company SAOC,Muscat,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Oman Investment Authority,Majan Electricity Company SAOC,Majan,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Oman Investment Authority,Al Ghubrah Power and Desalination Company SAOC,Al Ghubrah,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Oman Investment Authority,Wadi Al Jizzi Power Co SAOC,Wadi,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Oman Investment Authority,Dhofar Power Co SAOG,Dhofar,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Posco Holdings Inc,VENTUS LTD,Ventus,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Posco Holdings Inc,Tancheon E&E,Tancheon,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Posco Holdings Inc,Korea Fuel Cell,Korea Fuel Cell,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Posco Holdings Inc,Pohang Scrap Recycling Center Co Ltd,Pohang,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,PTT PCL,Sapthip Co Ltd,Sapthip,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,PTT PCL,Thaioil Energy Service Co Ltd,Thaioil,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,PTT PCL,TOP SPP Co Ltd,TOP,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,PTT PCL,Nuovo Plus Co Ltd,Nuovo,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,PTT PCL,Global Power Synergy PCL,Global Power Synergy PCL,0.4253,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,State-owned Assets Supervision and Administration Commission of the State Council,China National Nuclear Corporation,China National Nuclear Corporation(CNNC),NA,Sister,https://en.wikipedia.org/wiki/China_National_Nuclear_Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,State-owned Assets Supervision and Administration Commission of the State Council,State Power Investment Corporation,State Power Investment Corporation(SPIC),NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,State-owned Assets Supervision and Administration Commission of the State Council,State Grid Corporation of China,State Grid Corporation of China(SGCC),NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,State-owned Assets Supervision and Administration Commission of the State Council,China Southern Power Grid,China Southern Power(CSG),NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,State-owned Assets Supervision and Administration Commission of the State Council,China Huaneng Group,Huaneng,NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,State-owned Assets Supervision and Administration Commission of the State Council,China Datang Corporation,Datang,NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,State-owned Assets Supervision and Administration Commission of the State Council,China Huadian Corporation,Huadian,NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,State-owned Assets Supervision and Administration Commission of the State Council,China Three Gorges Corporation,Three Gorges(CTG),NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,State-owned Assets Supervision and Administration Commission of the State Council,China Energy Investment Corporation,China Energy Investment(Guodian|Shenhua|National Energy Group),NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,State-owned Assets Supervision and Administration Commission of the State Council,China State Construction Engineering Corporation,China State Construction Engineering Corporation(CSEC),NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,State-owned Assets Supervision and Administration Commission of the State Council,Powerchina,Powerchina,NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,State-owned Assets Supervision and Administration Commission of the State Council,China Energy Engineering Corporation,China Energy Engineering Corporation(CEEC),NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,State-owned Assets Supervision and Administration Commission of the State Council,China General Nuclear Power Group,China General Nuclear Power Group(CGN),NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,State-owned Assets Supervision and Administration Commission of the State Council,China Resources,China Resources(CRC),NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,State-owned Assets Supervision and Administration Commission of the State Council,China Energy Conservation and Environmental Protection Group Corporation,Energy Conservation and Environmental Protection(CECIC|CECEP),NA,Sister,https://en.wikipedia.org/wiki/State-owned_Assets_Supervision_and_Administration_Commission_of_the_State_Council#Central_SOEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,State-owned Assets Supervision and Administration Commission of the State Council,"CHANGSHA XIANGHE NEW ENERGY CO., LTD.",Xianghe Clean Energy,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,State-owned Assets Supervision and Administration Commission of the State Council,Jiangsu Kunlun Dongrui Energy Co Ltd,Jiangsu Kunlun,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Abu Dhabi National Oil Company (ADNOC),Emirates Semb Corp Water and Power Company PJSC,Emirates Semb,0.6,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Abu Dhabi National Oil Company (ADNOC),Al Ain Distribution Co JSC,AI Ain,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Abu Dhabi National Oil Company (ADNOC),Taweelah Asia Power Company PSC,Taweelah,0.7,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Abu Dhabi National Oil Company (ADNOC),Shuweihat CMS International Power Co PJSC,Shuweihat,0.6,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Abu Dhabi National Oil Company (ADNOC),Almirfa Power Company PJSC,Almirfa,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Abu Dhabi National Oil Company (ADNOC),Ruwais Power Holding Co,Ruwais,0.6,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Abu Dhabi National Oil Company (ADNOC),Gulf Total Tractebel Power P J S Industrial Co,Tractebel,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Abu Dhabi National Oil Company (ADNOC),Mirfa International Power and Water Company PJSC,Mirfa,0.6,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Abu Dhabi National Oil Company (ADNOC),Asia Gulf Power Service Co Ltd,Asia Gulf Power Service Co Ltd,0.23,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Abu Dhabi National Oil Company (ADNOC),Jubail Energy Co,Jubail,0.25,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Abu Dhabi National Oil Company (ADNOC),Fujairah Water and Electricity Co,Fujairah,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Abu Dhabi National Oil Company (ADNOC),Union Power Holding Company PJC,Union Power Holding Company PJC,0.9,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Abu Dhabi National Oil Company (ADNOC),Shuweihat Asia Power Company PJSC,Shuweihat Asia Power Company PJSC,0.4,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Abu Dhabi National Oil Company (ADNOC),ARABIAN POWER CO,Arabian,0.4,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Abu Dhabi National Oil Company (ADNOC),Takoradi International Co,Takoradi,0.9,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Abu Dhabi National Oil Company (ADNOC),Emirates CMS Power Co PJSC,Emirates CMS,0.6,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,BP plc,Cedar Creek,Cedar Creek,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,BP plc,Goshen,Goshen,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,BP plc,Auwahi,Auwahi,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,BP plc,Lyceum,Lyceum,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,BP plc,Mehoopany,Mehoopany,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,BP plc,Donoma,Donoma,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,BP plc,Gnowee,Gnowee,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,BP plc,Freetricity,Freetricity,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,BP plc,Free Power for Schools,Free Power for Schools,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,BP plc,Burnthouse,Burnthouse,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,BP plc,H7,H7,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,BP plc,Black Bear Alabama,Black Bear Alabama,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,BP plc,Bass,Bass,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,BP plc,Bighom,Bighom,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,BP plc,Aashman,Aashman,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,BP plc,Kala,Kala,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,BP plc,Bahia de Bizkaia,Bahia de Bizkaia,"0,75",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,BP plc,Sun and Soil,Sun and Soil,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,BP plc,MTS Francis,MTS Francis,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,BP plc,TWQE2,TWQE2,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,BP plc,Pont Andrew,Pont Andrew,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,BP plc,Lora,Lora,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,BP plc,Thames,Thames,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,BP plc,Shakti,Shakti,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,BP plc,Nextpower,Nextpower,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,BP plc,Trefinnick,Trefinnick,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,BP plc,Meri,Meri,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,BP plc,Sula,Sula,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,BP plc,Tuwale,Tuwale,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,BP plc,Tonatiuh,Tonatiuh,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,BP plc,Nima,Nima,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,BP plc,Palk,Palk,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,BP plc,Open energi,Open energi,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,BP plc,Impact Solar,Impact Solar,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,BP plc,Your Power,Your Power,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,BP plc,Parque Eolico del Sur,Parque Eolico del Sur,"0,28",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,BP plc,Coloursflow,Coloursflow,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,BP plc,Solenova,Solenova,"0,25",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,BP plc,Heliex,Heliex,"0,32",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,BP plc,Empire Offshore,Empire Offshore,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,BP plc,Nextpower,Nextpower,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,BP plc,Bodmin,Bodmin,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,BP plc,Chittering,Chittering,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,BP plc,Maverick Solar,Maverick Solar,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,BP plc,Honeysuckle,Honeysuckle,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,BP plc,Fuerzas Energeticas del Sur de Europa,Fuerzas Energeticas del Sur de Europa,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,BP plc,Free Power for Schools,Free Power for Schools,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,BP plc,Blue Marble,Blue Marble,"0,24",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,BP plc,Ocwen,Ocwen,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,BP plc,Archaea,Archaea,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,China National Petroleum Corporation (CNPC),China Oil Group Electrical Energy,China Oil Group Electrical Energy,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Compania Espanola de Petroleos SA (Cepsa),SURESA RETAMA S.L.,Suresa Retama,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Compania Espanola de Petroleos SA (Cepsa),Generacion Electrica Peninsular SA,Peninsular,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Compania Espanola de Petroleos SA (Cepsa),Servicios Energeticos De Alta Eficiencia SA,Servicios Energeticos De Alta Eficiencia(SEDAE),NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Compania Espanola de Petroleos SA (Cepsa),Nueva Generadora del Sur SA,Nueva Generadora del Sur(NGS),0.5,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Delek Group Ltd,DKL Energy Ltd,DKL,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Empresa Nacional del Petroleo (ENAP),Energia Andina SA,Energia Andina,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Eni SpA,PLT Puregreen SpA,Puregreen,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Eni SpA,Easy Gas & Power Srl,Easy Gas & Power Srl,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Eni SpA,Micropower Srl,Micropower,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Eni SpA,EOLICA WIND POWER SRL,EOLICA WIND POWER SRL,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Eni SpA,Green Parity Srl,Parity,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Eni SpA,Societa Agricola Isola d'Agri Srl,Isola d'Agri,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Eni SpA,SKGR Energy SMSa,SKGR,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Eni SpA,Vårgrønn,Vargronn(Vårgrønn|VÃ¥rgrÃ¸nn),0.7,Subsidiary,https://www.eni.com/en-IT/media/press-release/2020/11/eni-hitecvision-launch-vargronn.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Eni SpA,Arm Wind,Arm Wind,1,Subsidiary,https://www.eni.com/en-IT/media/press-release/2022/03/eni-inaugurates-its-second-wind-farm-in-kazakhstan.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Galp Energia SGPS SA,Mocatero Solar SL,Mocatero,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Galp Energia SGPS SA,Hazaia Solar SL,Hazaia,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Galp Energia SGPS SA,Escarnes Solar SL,Escarnes,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Galp Energia SGPS SA,Escatron Solar Dos SL,Escatron,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Galp Energia SGPS SA,Mediomonte Solar SL,Mediomonte,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Galp Energia SGPS SA,Emocion Solar SL,Emocion,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Galp Energia SGPS SA,Ignis Solar Uno SL,Ignis,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Galp Energia SGPS SA,Palabra Solar SL,Palabra,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Galp Energia SGPS SA,Esplendor Solar SL,Esplendor,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Galp Energia SGPS SA,Talento Solar SL,Talento,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Galp Energia SGPS SA,El Robledo Eolica SL,El Robledo,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Galp Energia SGPS SA,Envitero Solar SL,Envtero,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Galp Energia SGPS SA,Carrico Cogeracao Sociedade de Geracao de Electricidade e Calor SA,Carrico,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Galp Energia SGPS SA,Agroger Sociedade de Cogeracao do Oeste SA,Agroger,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Galp Energia SGPS SA,Portcogeracao SA,Portcogeracao,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Galp Energia SGPS SA,Ancora Wind Energia Eolica SA,Ancora,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Galp Energia SGPS SA,Eolica do Sincelo SA,Sincelo,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Galp Energia SGPS SA,Eolica da Linha SA,Linha,0.35,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galp Energia SGPS SA,Ictio Solar SLU,Ictio,1,Subsidiary,https://www.galp.com/corp/Portals/0/Recursos/Investidores/IMR2023/EN/AnnualIntegratedReport2023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galp Energia SGPS SA,Fornax Energy SL,Fornax,1,Subsidiary,https://www.galp.com/corp/Portals/0/Recursos/Investidores/IMR2023/EN/AnnualIntegratedReport2023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,INPEX Corporation,Sarulla Operations LTD INPEX,Sarulla,0.18,Subsidiary,https://www.thinkgeoenergy.com/first-110-mw-unit-of-sarulla-geothermal-plant-starts-operation/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,INPEX Corporation,Primula Holding BV,Primula,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,INPEX Corporation,Enel Green Power Australia Pty Ltd,Enel Australia,0.5,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,INPEX Corporation,Eliiy Power Co Ltd,Eliiy,0.1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,ITOCHU Corporation,Sarulla Operations LTD ITOCHU,Sarulla,0.25,Subsidiary,https://www.thinkgeoenergy.com/first-110-mw-unit-of-sarulla-geothermal-plant-starts-operation/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,ITOCHU Corporation,Houfu Energy Service Co Ltd,Houfu,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,ITOCHU Corporation,Jouetsu Energy Service CoLTD,Jouetsu,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,ITOCHU Corporation,Tokyo Toshi Service KK,Toshi,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,ITOCHU Corporation,Shinko LLC,Shinko,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,ITOCHU Corporation,Bay4 Energy Services LLC,Bay4,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,ITOCHU Corporation,Naes Power Contractors Inc,Naes,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Korea Gas Corporation (KOGAS),Amec Partners Korea Ltd,Amec Partners Korea,0.15,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Ministerio de Hacienda y Crédito Público de Colombia,Interconnection Electric SA ESP,Interconnection,0.51,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Ministerio de Hacienda y Crédito Público de Colombia,Consorcio Transmantaro SA,Transmantaro,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Ministerio de Hacienda y Crédito Público de Colombia,Transelca SA ESP,Transelca,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Ministerio de Hacienda y Crédito Público de Colombia,Interchile SA,Interchile,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Ministerio de Hacienda y Crédito Público de Colombia,ISA Investimentos e Participacoes do Brasil SA,ISA,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Ministerio de Hacienda y Crédito Público de Colombia,Intercolombia SA ESP,Intercolombia,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Ministerio de Hacienda y Crédito Público de Colombia,CTEEP - Companhia de Transmissao de Energia Eletrica Paulista,CTEEP,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Ministerio de Hacienda y Crédito Público de Colombia,Interligacao Eletrica Riacho Grande,Riacho,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Mitsubishi Corporation,Electricidad Aguila de Tuxpan S de RL de CV,Aguila de Tuxpan,0.5,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Mitsubishi Corporation,Amper Central Solar SA,Amper,0.344,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Mitsubishi Corporation,KK Lithium Energy Japan,Lithium Japan,0.4194,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Mitsubishi Corporation,Ovo Group Ltd,Ovo,0.2,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Mitsubishi Corporation,AgroPower BV,AgroPower,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
